candidate_id,rank,score,reasoning
CAND_0043860,1,1.1988,"Junior ML Engineer at Aganitha (6.1 yrs, Bhubaneswar, Odisha). Strong ai/ml title alignment; key skills: pgvector, semantic search, information retrieval; production ml/system deployment experience."
CAND_0081846,2,1.1949,"Lead AI Engineer at Razorpay (6.7 yrs, Jaipur, Rajasthan). Strong ai/ml title alignment; key skills: data science, information retrieval, llamaindex; production ml/system deployment experience."
CAND_0046525,3,1.1913,"Senior Machine Learning Engineer at Genpact AI (6.1 yrs, Pune, Maharashtra). Strong ai/ml title alignment; key skills: elasticsearch, langchain, machine learning; production ml/system deployment experience."
CAND_0064326,4,1.1877,"Search Engineer at Sarvam AI (7.6 yrs, Gurgaon, Haryana). Strong ai/ml title alignment; key skills: pytorch, deep learning, semantic search; production ml/system deployment experience."
CAND_0048558,5,1.1838,"Data Scientist at Rephrase.ai (6.7 yrs, Noida, Uttar Pradesh). Strong ai/ml title alignment; key skills: information retrieval, opensearch, elasticsearch; production ml/system deployment experience."
CAND_0011687,6,1.1821,"Senior NLP Engineer at Niramai (7.8 yrs, Indore, Madhya Pradesh). Strong ai/ml title alignment; key skills: tensorflow, opensearch, faiss; production ml/system deployment experience."
CAND_0052682,7,1.1807,"NLP Engineer at Aganitha (6.6 yrs, Vizag, Andhra Pradesh). Strong ai/ml title alignment; key skills: semantic search, faiss, pytorch; production ml/system deployment experience."
CAND_0018499,8,1.1801,"Senior Machine Learning Engineer at Zomato (7.2 yrs, Noida, Uttar Pradesh). Strong ai/ml title alignment; key skills: deep learning, recommendation systems, information retrieval; production ml/system deployment experience."
CAND_0065195,9,1.1732,"Search Engineer at CRED (5.1 yrs, Kolkata, West Bengal). Strong ai/ml title alignment; key skills: llms, bentoml, elasticsearch; production ml/system deployment experience."
CAND_0002025,10,1.1729,"Senior AI Engineer at Apple (5.9 yrs, Trivandrum, Kerala). Strong ai/ml title alignment; key skills: faiss, tensorflow, opensearch; production ml/system deployment experience."
CAND_0055905,11,1.1569,"Senior Machine Learning Engineer at Flipkart (8.1 yrs, London, UK). Strong ai/ml title alignment; key skills: elasticsearch, hugging face transformers, langchain; production ml/system deployment experience. Based outside india (uk)."
CAND_0006567,12,1.1552,"Senior AI Engineer at Meta (7.9 yrs, Noida, Uttar Pradesh). Strong ai/ml title alignment; key skills: search backend, vector representations, nlp; production ml/system deployment experience."
CAND_0033445,13,1.1497,"ML Engineer at Vedantu (6.8 yrs, Ahmedabad, Gujarat). Strong ai/ml title alignment; key skills: deep learning, information retrieval, pgvector; solid product-company trajectory."
CAND_0052328,14,1.1469,"Recommendation Systems Engineer at Amazon (6.5 yrs, Pune, Maharashtra). Strong ai/ml title alignment; key skills: opensearch, recommendation systems, fine-tuning llms; production ml/system deployment experience."
CAND_0041669,15,1.1461,"Recommendation Systems Engineer at CRED (8.0 yrs, Noida, Uttar Pradesh). Strong ai/ml title alignment; key skills: faiss, mlflow, semantic search; production ml/system deployment experience."
CAND_0046064,16,1.1453,"Senior NLP Engineer at Salesforce (8.9 yrs, Coimbatore, Tamil Nadu). Strong ai/ml title alignment; key skills: python, opensearch, deep learning; production ml/system deployment experience."
CAND_0004402,17,1.1446,"AI Research Engineer at Yellow.ai (6.0 yrs, Delhi, Delhi). Strong ai/ml title alignment; key skills: opensearch, pytorch, bentoml; production ml/system deployment experience."
CAND_0007596,18,1.1439,"Junior ML Engineer at Flipkart (4.4 yrs, Delhi, Delhi). Strong ai/ml title alignment; key skills: machine learning, python, vector search; production ml/system deployment experience."
CAND_0061257,19,1.1402,"Staff Machine Learning Engineer at LinkedIn (8.0 yrs, Noida, Uttar Pradesh). Strong ai/ml title alignment; key skills: machine learning, information retrieval systems, search infrastructure; production ml/system deployment experience."
CAND_0006418,20,1.1392,"Machine Learning Engineer at Verloop.io (5.7 yrs, Gurgaon, Haryana). Strong ai/ml title alignment; key skills: semantic search, embeddings, tensorflow; production ml/system deployment experience."
CAND_0077337,21,1.1351,"Staff Machine Learning Engineer at Paytm (7.0 yrs, Kochi, Kerala). Strong ai/ml title alignment; key skills: semantic search, pgvector, information retrieval."
CAND_0037980,22,1.1319,"Senior Applied Scientist at Niramai (9.0 yrs, Kolkata, West Bengal). Strong ai/ml title alignment; key skills: search infrastructure, pytorch, nlp."
CAND_0071974,23,1.1301,"Senior AI Engineer at Netflix (7.8 yrs, Vizag, Andhra Pradesh). Strong ai/ml title alignment; key skills: machine learning, information retrieval, embeddings."
CAND_0010257,24,1.1297,"Senior Data Scientist at Google (6.5 yrs, Noida, Uttar Pradesh). Strong ai/ml title alignment; key skills: tensorflow, mlflow, python. Long notice (120d)."
CAND_0053605,25,1.1285,"Senior Software Engineer (ML) at Verloop.io (6.9 yrs, Noida, Uttar Pradesh). Strong ai/ml title alignment; key skills: langchain, pgvector, semantic search."
CAND_0043637,26,1.1271,"Junior ML Engineer at Rephrase.ai (5.5 yrs, Delhi, Delhi). Strong ai/ml title alignment; key skills: pytorch, html, mlflow."
CAND_0037566,27,1.1259,"Machine Learning Engineer at LinkedIn (6.9 yrs, Bangalore, Karnataka). Strong ai/ml title alignment; key skills: llamaindex, nlp, mlflow."
CAND_0005260,28,1.1250,"Senior NLP Engineer at Netflix (5.2 yrs, Chennai, Tamil Nadu). Strong ai/ml title alignment; key skills: mlops, information retrieval, semantic search. Not actively looking (open_to_work=false)."
CAND_0033179,29,1.1247,"AI Research Engineer at Wipro (6.9 yrs, Ahmedabad, Gujarat). Strong ai/ml title alignment; key skills: hugging face transformers, opensearch, pytorch."
CAND_0015057,30,1.1237,"ML Engineer at Meesho (4.6 yrs, Pune, Maharashtra). Strong ai/ml title alignment; key skills: sentence transformers, vector search, embeddings. Notice period 90d."
CAND_0050876,31,1.1227,"Applied ML Engineer at Freshworks (6.0 yrs, Kolkata, West Bengal). Strong ai/ml title alignment; key skills: mlops, faiss, llamaindex. Notice period 90d."
CAND_0068811,32,1.1222,"Applied ML Engineer at Freshworks (8.0 yrs, Pune, Maharashtra). Strong ai/ml title alignment; key skills: data science, vector search, tensorflow."
CAND_0080534,33,1.1214,"ML Engineer at Genpact AI (3.8 yrs, Vizag, Andhra Pradesh). Strong ai/ml title alignment; key skills: elasticsearch, opensearch, airflow."
CAND_0054100,34,1.1196,"Junior ML Engineer at Zoho (6.0 yrs, Kolkata, West Bengal). Strong ai/ml title alignment; key skills: vector search, semantic search, deep learning."
CAND_0067866,35,1.1176,"Senior Software Engineer (ML) at Tech Mahindra (6.4 yrs, Noida, Uttar Pradesh). Strong ai/ml title alignment; key skills: embeddings, pgvector, elasticsearch."
CAND_0016163,36,1.1168,"Applied ML Engineer at Dream11 (6.7 yrs, Gurgaon, Haryana). Strong ai/ml title alignment; key skills: hugging face transformers, deep learning, tensorflow. Long notice (120d)."
CAND_0088025,37,1.1163,"Staff Machine Learning Engineer at Yellow.ai (8.6 yrs, Jaipur, Rajasthan). Strong ai/ml title alignment; key skills: llms, hugging face transformers, rag. Notice period 90d."
CAND_0068351,38,1.1160,"Lead AI Engineer at Sarvam AI (6.4 yrs, Delhi, Delhi). Strong ai/ml title alignment; key skills: pgvector, deep learning, elasticsearch. Not actively looking (open_to_work=false)."
CAND_0027691,39,1.1154,"NLP Engineer at Haptik (6.5 yrs, Pune, Maharashtra). Strong ai/ml title alignment; key skills: recommendation systems, embeddings, tensorflow."
CAND_0081053,40,1.1145,"NLP Engineer at Glance (5.4 yrs, Chandigarh, Chandigarh). Strong ai/ml title alignment; key skills: machine learning, pgvector, semantic search. Notice period 90d."
CAND_0040117,41,1.1136,"Recommendation Systems Engineer at PhonePe (6.5 yrs, Vizag, Andhra Pradesh). Strong ai/ml title alignment; key skills: llamaindex, embeddings, rag."
CAND_0014440,42,1.1135,"Recommendation Systems Engineer at CRED (6.4 yrs, Chennai, Tamil Nadu). Strong ai/ml title alignment; key skills: elasticsearch, machine learning, faiss."
CAND_0039383,43,1.1107,"Applied ML Engineer at Meesho (7.1 yrs, Gurgaon, Haryana). Strong ai/ml title alignment; key skills: faiss, recommendation systems, hugging face transformers. Notice period 90d."
CAND_0098952,44,1.1083,"AI Research Engineer at CRED (5.5 yrs, Gurgaon, Haryana). Strong ai/ml title alignment; key skills: airflow, recommendation systems, opensearch."
CAND_0010685,45,1.1081,"NLP Engineer at Rephrase.ai (6.7 yrs, Kolkata, West Bengal). Strong ai/ml title alignment; key skills: llamaindex, deep learning, pytorch."
CAND_0030031,46,1.1079,"AI Engineer at Microsoft (5.7 yrs, Trivandrum, Kerala). Strong ai/ml title alignment; key skills: information retrieval, pytorch, python. Not actively looking (open_to_work=false)."
CAND_0051004,47,1.1079,"Senior Data Scientist at CRED (4.7 yrs, Delhi, Delhi). Strong ai/ml title alignment; key skills: mlflow, embeddings, semantic search."
CAND_0058688,48,1.1078,"AI Engineer at Vedantu (6.7 yrs, Berlin, Germany). Strong ai/ml title alignment; key skills: llamaindex, embeddings, tensorflow. Based outside india (germany)."
CAND_0098454,49,1.1056,"AI Specialist at Meesho (6.6 yrs, Indore, Madhya Pradesh). Strong ai/ml title alignment; key skills: vector search, mlops, nlp."
CAND_0012840,50,1.1051,"Junior ML Engineer at Nykaa (3.7 yrs, Mumbai, Maharashtra). Strong ai/ml title alignment; key skills: embeddings, mlops, mlflow."
CAND_0019288,51,1.1050,"AI Research Engineer at Paytm (5.7 yrs, Noida, Uttar Pradesh). Strong ai/ml title alignment; key skills: data science, pgvector, faiss."
CAND_0078002,52,1.1049,"Machine Learning Engineer at Meta (6.3 yrs, Coimbatore, Tamil Nadu). Strong ai/ml title alignment; key skills: pgvector, tensorflow, nlp."
CAND_0071939,53,1.1046,"Data Scientist at Krutrim (6.4 yrs, Pune, Maharashtra). Strong ai/ml title alignment; key skills: elasticsearch, opensearch, embeddings."
CAND_0030784,54,1.1031,"Data Scientist at Yellow.ai (4.4 yrs, Delhi, Delhi). Strong ai/ml title alignment; key skills: embeddings, rag, python. Concerns: notice period 90d."
CAND_0008295,55,1.1010,"AI Research Engineer at Razorpay (6.5 yrs, Pune, Maharashtra). Strong ai/ml title alignment; key skills: python, mlflow, bentoml."
CAND_0009024,56,1.0999,"Search Engineer at Google (5.2 yrs, Chennai, Tamil Nadu). Strong ai/ml title alignment; key skills: faiss, machine learning, airflow."
CAND_0028422,57,1.0986,"Junior ML Engineer at Yellow.ai (5.5 yrs, Chennai, Tamil Nadu). Strong ai/ml title alignment; key skills: deep learning, pgvector, opensearch. Concerns: notice period 90d."
CAND_0011432,58,1.0976,"Senior Data Scientist at Amazon (7.6 yrs, Chennai, Tamil Nadu). Strong ai/ml title alignment; key skills: mlops, data science, opensearch."
CAND_0005538,59,1.0962,"Senior AI Engineer at Adobe (5.9 yrs, Kolkata, West Bengal). Strong ai/ml title alignment; key skills: vector representations, deep learning, python. Concerns: notice period 90d."
CAND_0091909,60,1.0953,"Machine Learning Engineer at Rephrase.ai (6.9 yrs, Bangalore, Karnataka). Strong ai/ml title alignment; key skills: llms, opensearch, bentoml."
CAND_0012837,61,1.0942,"Junior ML Engineer at Sarvam AI (6.4 yrs, Chandigarh, Chandigarh). Strong ai/ml title alignment; key skills: vector search, mlops, llms."
CAND_0028793,62,1.0941,"Search Engineer at Google (7.2 yrs, Trivandrum, Kerala). Strong ai/ml title alignment; key skills: embeddings, information retrieval, pytorch. Concerns: long notice (120d)."
CAND_0020991,63,1.0922,"Junior ML Engineer at PhonePe (4.9 yrs, Vizag, Andhra Pradesh). Strong ai/ml title alignment; key skills: python, opensearch, semantic search. Concerns: long notice (120d)."
CAND_0099806,64,1.0915,"AI Engineer at Mad Street Den (4.6 yrs, Bhubaneswar, Odisha). Strong ai/ml title alignment; key skills: rag, pgvector, faiss."
CAND_0024147,65,1.0912,"ML Engineer at Ola (5.9 yrs, Jaipur, Rajasthan). Strong ai/ml title alignment; key skills: recommendation systems, opensearch."
CAND_0079387,66,1.0906,"AI Engineer at Microsoft (6.9 yrs, Trivandrum, Kerala). Strong ai/ml title alignment; key skills: recommendation systems, python, sentence transformers."
CAND_0075574,67,1.0902,"Machine Learning Engineer at Haptik (5.7 yrs, Bangalore, Karnataka). Strong ai/ml title alignment; key skills: hugging face transformers, pgvector, recommendation systems."
CAND_0066999,68,1.0899,"Recommendation Systems Engineer at Microsoft (5.9 yrs, Delhi, Delhi). Strong ai/ml title alignment; key skills: opensearch, faiss, llms."
CAND_0053591,69,1.0894,"AI Engineer at Ola (5.3 yrs, Toronto, Canada). Strong ai/ml title alignment; key skills: langchain, embeddings, opensearch. Concerns: based outside India (Canada)."
CAND_0046132,70,1.0888,"AI Research Engineer at Verloop.io (4.3 yrs, Noida, Uttar Pradesh). Strong ai/ml title alignment; partial skill match with jd requirements."
CAND_0009691,71,1.0886,"Applied ML Engineer at LinkedIn (6.2 yrs, Indore, Madhya Pradesh). Strong ai/ml title alignment; key skills: bentoml, recommendation systems, fine-tuning llms. Concerns: long notice (120d)."
CAND_0042029,72,1.0880,"Senior Data Scientist at Flipkart (6.5 yrs, Delhi, Delhi). Strong ai/ml title alignment; key skills: pytorch, nlp, rag. Concerns: not actively looking (open_to_work=false)."
CAND_0070525,73,1.0875,"Senior Software Engineer (ML) at Mad Street Den (5.4 yrs, Hyderabad, Telangana). Strong ai/ml title alignment; key skills: recommendation systems, python, llms."
CAND_0007052,74,1.0854,"ML Engineer at Unacademy (6.5 yrs, Pune, Maharashtra). Strong ai/ml title alignment; key skills: data science, rag, deep learning."
CAND_0030468,75,1.0838,"Senior Applied Scientist at Swiggy (5.4 yrs, Indore, Madhya Pradesh). Strong ai/ml title alignment; key skills: information retrieval systems, tensorflow, search & discovery."
CAND_0079064,76,1.0823,"Senior Data Scientist at Niramai (5.2 yrs, Noida, Uttar Pradesh). Strong ai/ml title alignment; key skills: llamaindex, opensearch, nlp. Concerns: long notice (120d)."
CAND_0045250,77,1.0818,"Applied ML Engineer at Rephrase.ai (6.6 yrs, Delhi, Delhi). Strong ai/ml title alignment; key skills: sentence transformers, embeddings, nlp. Concerns: not actively looking (open_to_work=false)."
CAND_0098846,78,1.0818,"AI Engineer at upGrad (7.6 yrs, Indore, Madhya Pradesh). Strong ai/ml title alignment; key skills: hugging face transformers, machine learning, mlops."
CAND_0095528,79,1.0814,"Senior Data Scientist at Netflix (5.3 yrs, Indore, Madhya Pradesh). Strong ai/ml title alignment; key skills: opensearch, pytorch, semantic search."
CAND_0016659,80,1.0805,"ML Engineer at Glance (4.4 yrs, Coimbatore, Tamil Nadu). Strong ai/ml title alignment; key skills: sentence transformers, faiss, information retrieval."
CAND_0007009,81,1.0804,"Recommendation Systems Engineer at Wysa (7.9 yrs, Noida, Uttar Pradesh). Strong ai/ml title alignment; key skills: python, embeddings, llms."
CAND_0064256,82,1.0788,"Junior ML Engineer at BYJU'S (6.4 yrs, Kolkata, West Bengal). Strong ai/ml title alignment; key skills: pytorch, mlops, python."
CAND_0064904,83,1.0779,"AI Engineer at LinkedIn (4.9 yrs, Hyderabad, Telangana). Strong ai/ml title alignment; key skills: embeddings, hugging face transformers, elasticsearch. Concerns: notice period 90d."
CAND_0024878,84,1.0764,"AI Specialist at HCL (5.7 yrs, Vizag, Andhra Pradesh). Strong ai/ml title alignment; key skills: pgvector, elasticsearch, nlp."
CAND_0065786,85,1.0761,"AI Specialist at Swiggy (4.9 yrs, Indore, Madhya Pradesh). Strong ai/ml title alignment; key skills: bentoml, semantic search, tensorflow."
CAND_0074735,86,1.0757,"Applied ML Engineer at Rephrase.ai (5.5 yrs, Chandigarh, Chandigarh). Strong ai/ml title alignment; key skills: rag, llamaindex, machine learning. Concerns: notice period 90d."
CAND_0033987,87,1.0742,"ML Engineer at Wysa (6.8 yrs, Delhi, Delhi). Strong ai/ml title alignment; key skills: recommendation systems, deep learning, fine-tuning llms. Concerns: notice period 90d."
CAND_0019480,88,1.0739,"NLP Engineer at Meesho (2.8 yrs, Chennai, Tamil Nadu). Strong ai/ml title alignment; key skills: llms, tensorflow, langchain. Concerns: notice period 90d; limited experience (3y vs 5-9y target)."
CAND_0081852,89,1.0739,"Senior Data Scientist at Mad Street Den (5.9 yrs, Delhi, Delhi). Strong ai/ml title alignment; key skills: semantic search, bentoml, pgvector."
CAND_0074225,90,1.0733,"Machine Learning Engineer at Unacademy (4.3 yrs, Vizag, Andhra Pradesh). Strong ai/ml title alignment; key skills: recommendation systems, semantic search, elasticsearch. Concerns: long notice (120d)."
CAND_0008425,91,1.0731,"Senior NLP Engineer at Ola (7.8 yrs, Kolkata, West Bengal). Strong ai/ml title alignment; key skills: pgvector, sentence transformers, nlp. Concerns: notice period 90d."
CAND_0086022,92,1.0719,"Senior Applied Scientist at Sarvam AI (5.3 yrs, Kolkata, West Bengal). Strong ai/ml title alignment; key skills: vector search, mlflow, recommendation systems."
CAND_0010541,93,1.0715,"AI Research Engineer at Wysa (6.2 yrs, Hyderabad, Telangana). Strong ai/ml title alignment; key skills: mlops, data science, python."
CAND_0072688,94,1.0691,"Data Scientist at Niramai (6.9 yrs, Pune, Maharashtra). Strong ai/ml title alignment; key skills: data science, deep learning, semantic search."
CAND_0076251,95,1.0689,"Search Engineer at Haptik (7.6 yrs, Bhubaneswar, Odisha). Strong ai/ml title alignment; key skills: fine-tuning llms, hugging face transformers, llamaindex."
CAND_0035879,96,1.0687,"AI Research Engineer at Krutrim (4.5 yrs, Noida, Uttar Pradesh). Strong ai/ml title alignment; key skills: mlflow, elasticsearch, pgvector. Concerns: long notice (120d)."
CAND_0042100,97,1.0684,"Machine Learning Engineer at Freshworks (7.3 yrs, Singapore, Singapore). Strong ai/ml title alignment; key skills: elasticsearch, recommendation systems, semantic search. Concerns: notice period 90d; based outside India (Singapore)."
CAND_0011263,98,1.0677,"ML Engineer at Ola (5.1 yrs, Pune, Maharashtra). Strong ai/ml title alignment; key skills: langchain, machine learning, information retrieval."
CAND_0037160,99,1.0677,"Data Scientist at Haptik (6.0 yrs, Mumbai, Maharashtra). Strong ai/ml title alignment; key skills: deep learning, llms, vector search."
CAND_0046353,100,1.0664,"ML Engineer at Razorpay (6.4 yrs, Gurgaon, Haryana). Strong ai/ml title alignment; key skills: mlflow, pytorch, faiss. Concerns: long notice (120d)."
